recovered_image,rmse
_MG_3235.jpg,4.463423538
_MG_6403.jpg,3.948406333
IMG_6908.jpg,3.45205208
_MG_3157.jpg,3.763254272
IMG_6882.jpg,6.151076103
IMG_2400.jpg,4.721218541
_MG_3963.jpg,5.97495984
_MG_3744.jpg,3.302178251
IMG_5635.jpg,4.554207579
_MG_6428.jpg,3.408778732
IMG_6880.jpg,6.073762091
IMG_6738.jpg,6.663666038
IMG_5543.jpg,6.625991521
_MG_3801.jpg,3.728838274
_MG_3800.jpg,3.456344451
_MG_4564.jpg,4.345743091
_MG_6165.jpg,4.229756952
_MG_3019.jpg,3.169523402
_MG_3743.jpg,4.670221329
_MG_4212.jpg,4.159339391
_MG_2930.jpg,5.814781032
_MG_2925.jpg,4.864203934
_MG_2931.jpg,6.356293653
_MG_5694.jpg,4.936872323
_MG_6404.jpg,3.289841266
_MG_3026.jpg,3.937607078
IMG_6879.jpg,5.971548988
IMG_6515.jpg,4.52357389
IMG_6663.jpg,6.797393647
IMG_6176.jpg,8.502181749
_MG_4883.jpg,3.130573007
_MG_3652.jpg,3.041632624
IMG_6200.jpg,5.645927121
_MG_4699.jpg,3.879156357
_MG_6717.jpg,6.043160684
_MG_3121.jpg,3.394990583
IMG_6981.jpg,5.303502886
_MG_3294.jpg,2.438351372
IMG_5640.jpg,5.700233652
IMG_5654.jpg,5.90015443
_MG_3041.jpg,2.741687812
_MG_3725.jpg,2.44559515
IMG_5681.jpg,5.906763226
_MG_4710.jpg,3.218251329
_MG_4089.jpg,4.945951677
IMG_6405.jpg,7.013827356
IMG_6439.jpg,6.874020944
IMg_2449.jpg,4.171816981
IMG_5454.jpg,5.302402343
_MG_2759.jpg,5.692439639
IMG_5520.jpg,5.674260001
_MG_4842.jpg,3.00326036
_MG_2764.jpg,5.847852467
IMG_6160.jpg,7.740276999
_MG_3254.jpg,4.820534933
IMG_5643.jpg,4.883244263
_MG_4088.jpg,2.965210296
_MG_6664.jpg,3.546838049
_MG_4701.jpg,4.427527849
IMG_5690.jpg,6.870662683
_MG_5609.jpg,4.176808268
_MG_2760.jpg,6.306219963
_MG_5580.jpg,4.081800383
IMG_6993.jpg,6.906030845
IMG_6978.jpg,5.032829475
_MG_3090.jpg,2.065835446
IMG_5652.jpg,4.405270985
_MG_2371.jpg,3.864269577
_MG_6317.jpg,4.595755218
_MG_5781.jpg,3.810932217
_MG_3119.jpg,3.770098669
_MG_4110.jpg,3.434667303
